respondent_id,mbti_label,IE01,IE02,IE03,IE04,NS01,NS02,NS03,NS04,TF01,TF02,TF03,TF04,JP01,JP02,JP03,JP04,ie_label,ns_label,tf_label,jp_label
SYN-INFJ-050,INFJ,5,4,2,3,4,4,5,4,2,5,2,5,5,3,4,3,I,N,F,J
SYN-INFJ-051,INFJ,2,1,3,2,4,4,4,4,1,5,3,4,4,1,2,3,I,N,F,J
SYN-INFJ-052,INFJ,1,1,1,5,2,3,4,3,3,4,4,4,3,3,2,1,I,N,F,J
SYN-INFJ-053,INFJ,5,2,4,2,4,3,3,2,3,3,3,4,5,3,4,3,I,N,F,J
SYN-INFJ-054,INFJ,5,3,2,4,3,3,3,2,3,4,3,3,4,1,3,2,I,N,F,J
SYN-INFJ-055,INFJ,2,3,5,4,3,4,5,3,2,4,3,4,1,1,2,4,I,N,F,J
SYN-INFJ-056,INFJ,2,3,4,1,4,3,5,5,3,4,2,5,2,1,3,3,I,N,F,J
SYN-INFJ-057,INFJ,5,3,1,1,4,4,5,3,4,2,3,1,5,3,4,2,I,N,F,J
SYN-INFJ-058,INFJ,4,2,4,4,5,3,3,4,3,3,3,1,4,3,3,2,I,N,F,J
SYN-INFJ-059,INFJ,5,2,2,1,3,3,4,2,3,2,1,3,4,2,1,2,I,N,F,J
SYN-INFJ-060,INFJ,4,1,4,3,2,2,4,1,3,2,2,1,4,1,5,4,I,N,F,J
SYN-INFJ-061,INFJ,4,2,3,2,3,4,3,3,3,1,2,5,2,1,3,3,I,N,F,J
SYN-INFJ-062,INFJ,4,4,5,1,4,2,2,2,4,1,2,3,5,2,4,2,I,N,F,J
SYN-INFJ-063,INFJ,4,5,5,5,4,1,4,3,1,4,2,3,2,3,4,2,I,N,F,J
SYN-INFJ-064,INFJ,4,3,3,5,3,3,4,2,1,1,4,2,5,1,4,2,I,N,F,J
SYN-INFJ-065,INFJ,1,3,4,4,3,5,4,3,3,3,3,1,3,2,4,4,I,N,F,J
SYN-INFJ-066,INFJ,4,2,3,2,4,4,5,1,1,4,1,5,2,3,1,4,I,N,F,J
SYN-INFJ-067,INFJ,5,3,3,5,3,4,4,1,1,4,4,5,4,2,2,4,I,N,F,J
SYN-INFJ-068,INFJ,3,5,5,1,3,4,3,1,3,2,2,2,1,3,3,2,I,N,F,J
SYN-INFJ-069,INFJ,2,4,3,2,5,1,5,1,2,4,2,1,3,1,4,3,I,N,F,J
SYN-INFJ-070,INFJ,2,1,5,1,2,1,4,4,3,3,4,5,4,2,4,2,I,N,F,J
SYN-INFJ-071,INFJ,1,1,5,3,4,3,5,3,2,1,2,5,4,1,4,2,I,N,F,J
SYN-INFJ-072,INFJ,2,5,4,3,2,2,3,3,2,3,2,4,5,2,3,1,I,N,F,J
SYN-INFJ-073,INFJ,5,1,4,4,4,4,3,3,2,2,4,5,4,5,3,2,I,N,F,J
SYN-INFJ-074,INFJ,3,3,5,1,4,3,4,1,1,3,2,4,5,1,3,2,I,N,F,J
SYN-INFJ-075,INFJ,3,5,2,2,4,3,3,4,3,5,3,4,4,3,3,1,I,N,F,J
SYN-INFJ-076,INFJ,5,3,2,3,5,4,1,3,1,4,2,1,4,1,5,3,I,N,F,J
SYN-INFJ-077,INFJ,5,5,4,2,1,2,4,2,2,5,2,5,5,2,5,3,I,N,F,J
SYN-INFJ-078,INFJ,2,4,5,2,5,1,4,2,2,4,2,5,4,4,3,3,I,N,F,J
SYN-INFJ-079,INFJ,5,5,5,4,4,2,3,2,1,5,2,3,2,2,3,3,I,N,F,J
SYN-INFJ-080,INFJ,4,1,3,2,4,2,5,3,2,5,1,3,2,4,5,4,I,N,F,J
SYN-ENTP-001,ENTP,4,2,2,2,2,1,5,4,1,2,4,1,3,3,4,3,E,N,T,P
SYN-ENTP-002,ENTP,2,4,2,4,4,5,1,2,4,1,2,3,3,2,5,5,E,N,T,P
SYN-ENTP-003,ENTP,1,4,2,5,3,4,5,2,2,3,3,2,4,4,2,4,E,N,T,P
SYN-ENTP-004,ENTP,1,4,4,4,4,1,2,1,1,3,5,1,1,4,5,5,E,N,T,P
SYN-ENTP-005,ENTP,2,5,1,4,5,2,4,5,2,1,4,4,3,5,2,4,E,N,T,P
SYN-ENTP-006,ENTP,3,3,1,5,3,2,1,4,2,2,3,1,1,2,2,2,E,N,T,P
SYN-ENTP-007,ENTP,3,2,4,4,5,3,3,1,3,3,5,3,3,3,1,2,E,N,T,P
SYN-ENTP-008,ENTP,4,4,2,2,3,2,4,4,5,2,3,1,1,3,5,3,E,N,T,P
SYN-ENTP-009,ENTP,2,5,3,4,5,1,5,1,4,1,4,2,2,4,3,3,E,N,T,P
SYN-ENTP-010,ENTP,3,5,5,2,1,3,5,2,5,2,5,1,1,5,1,5,E,N,T,P
SYN-ENTP-011,ENTP,2,3,4,3,4,3,3,2,3,1,4,1,1,1,3,5,E,N,T,P
SYN-ENTP-012,ENTP,1,5,1,5,4,3,2,4,3,4,5,5,1,2,3,5,E,N,T,P
SYN-ENTP-013,ENTP,1,5,5,3,3,2,2,4,3,2,4,1,2,1,4,4,E,N,T,P
SYN-ENTP-014,ENTP,3,2,1,2,5,3,2,1,4,3,5,1,1,5,2,5,E,N,T,P
SYN-ENTP-015,ENTP,1,4,2,5,3,1,2,3,3,3,5,1,3,4,4,1,E,N,T,P
SYN-ENTP-016,ENTP,1,4,3,4,4,2,4,1,5,2,5,1,3,5,1,4,E,N,T,P
SYN-ENTP-017,ENTP,1,4,3,5,2,3,5,2,5,2,4,2,3,5,3,3,E,N,T,P
SYN-ENTP-018,ENTP,2,4,2,4,4,1,3,3,2,4,3,2,5,5,4,4,E,N,T,P
SYN-ENTP-019,ENTP,2,2,1,4,2,3,4,1,4,4,3,3,1,4,3,2,E,N,T,P
SYN-ENTP-020,ENTP,2,3,2,2,4,4,3,2,4,2,3,1,3,1,3,4,E,N,T,P
SYN-ENTP-021,ENTP,4,5,1,4,5,3,3,2,4,2,4,3,3,5,2,4,E,N,T,P
SYN-ENTP-022,ENTP,2,3,1,5,5,4,4,2,4,3,4,2,4,5,3,3,E,N,T,P
SYN-ENTP-023,ENTP,5,3,2,1,2,4,3,3,5,2,5,1,1,5,1,4,E,N,T,P
SYN-ENTP-024,ENTP,4,4,4,4,5,4,2,3,3,2,5,2,2,4,4,3,E,N,T,P
SYN-ENTP-025,ENTP,2,5,1,2,5,2,3,1,3,1,4,2,2,4,2,5,E,N,T,P
SYN-ENTP-026,ENTP,3,4,3,4,4,1,5,1,3,5,5,5,2,3,2,2,E,N,T,P
SYN-ENTP-027,ENTP,4,2,5,3,3,3,3,2,3,1,2,3,4,2,2,2,E,N,T,P
SYN-ENTP-028,ENTP,2,3,3,2,2,1,3,3,5,3,5,3,3,4,4,3,E,N,T,P
SYN-ENTP-029,ENTP,3,5,4,5,1,3,5,1,4,4,3,1,3,3,2,2,E,N,T,P
SYN-ENTP-030,ENTP,1,5,2,3,4,2,5,2,2,3,5,5,2,3,2,2,E,N,T,P
SYN-ENTP-031,ENTP,1,2,1,2,1,4,4,2,4,2,4,3,3,4,2,3,E,N,T,P
SYN-ENTP-032,ENTP,2,4,4,4,4,3,4,1,4,2,3,2,3,2,2,2,E,N,T,P
SYN-ENTP-033,ENTP,2,1,1,4,4,1,5,1,4,4,3,4,2,4,1,3,E,N,T,P
SYN-ENTP-034,ENTP,3,4,2,3,5,2,4,4,4,3,4,1,2,4,3,2,E,N,T,P
SYN-ENTP-035,ENTP,1,4,2,1,4,3,1,4,5,4,4,1,2,2,3,1,E,N,T,P
SYN-ENTP-036,ENTP,3,4,2,4,3,1,3,2,2,4,2,1,2,3,2,3,E,N,T,P
SYN-ENTP-037,ENTP,5,3,1,4,4,5,4,1,5,4,4,3,3,4,1,3,E,N,T,P
SYN-ENTP-038,ENTP,2,1,2,5,4,4,4,2,5,3,3,4,2,4,4,1,E,N,T,P
SYN-ENTP-039,ENTP,2,4,1,3,3,4,1,2,5,1,3,2,2,5,2,3,E,N,T,P
SYN-ENTP-040,ENTP,2,3,4,5,5,2,4,4,3,2,4,3,2,4,1,4,E,N,T,P
SYN-ENTP-041,ENTP,1,2,2,4,3,1,4,4,3,2,3,5,2,3,4,4,E,N,T,P
SYN-ENTP-042,ENTP,3,5,3,5,5,4,2,1,5,5,1,1,4,4,1,5,E,N,T,P
SYN-ENTP-043,ENTP,1,4,1,4,3,1,5,1,3,3,2,3,2,4,3,1,E,N,T,P
SYN-ENTP-044,ENTP,4,1,1,5,1,1,4,3,4,2,4,3,3,5,5,2,E,N,T,P
SYN-ENTP-045,ENTP,1,5,5,2,4,1,2,1,4,2,4,2,2,3,1,4,E,N,T,P
SYN-ENTP-046,ENTP,1,4,4,5,1,1,3,4,2,1,4,3,1,2,2,3,E,N,T,P
SYN-ENTP-047,ENTP,2,3,1,2,3,2,4,1,2,5,3,3,2,5,3,3,E,N,T,P
SYN-ENTP-048,ENTP,5,5,4,3,3,4,3,2,4,1,3,2,4,3,1,2,E,N,T,P
SYN-ENTP-049,ENTP,1,2,2,3,2,1,2,2,4,2,3,2,1,2,2,4,E,N,T,P
SYN-ENTP-050,ENTP,4,3,2,3,3,2,5,1,5,2,4,4,5,4,2,4,E,N,T,P
SYN-ENTP-051,ENTP,2,1,2,5,4,4,5,2,3,2,3,3,4,4,3,4,E,N,T,P
SYN-ENTP-052,ENTP,4,3,2,4,1,3,4,2,2,4,5,2,2,1,3,2,E,N,T,P
SYN-ENTP-053,ENTP,4,4,3,3,2,4,4,2,4,3,2,2,3,5,4,5,E,N,T,P
SYN-ENTP-054,ENTP,3,5,1,5,5,4,2,1,5,5,3,2,2,3,4,4,E,N,T,P
SYN-ENTP-055,ENTP,2,3,4,4,1,3,1,3,5,1,5,4,3,5,1,4,E,N,T,P
SYN-ENTP-056,ENTP,1,4,4,5,1,4,4,1,2,1,4,4,3,4,1,4,E,N,T,P
SYN-ENTP-057,ENTP,2,4,3,5,2,2,3,2,4,3,3,3,1,2,2,5,E,N,T,P
SYN-ENTP-058,ENTP,2,4,2,4,3,3,3,3,3,2,3,2,1,5,2,3,E,N,T,P
SYN-ENTP-059,ENTP,2,4,3,4,4,1,3,3,1,4,3,4,4,3,1,3,E,N,T,P
SYN-ENTP-060,ENTP,1,2,2,5,4,2,2,4,4,2,4,2,1,3,3,5,E,N,T,P
SYN-ENTP-061,ENTP,5,5,1,1,4,4,4,1,5,1,3,4,2,2,3,4,E,N,T,P
SYN-ENTP-062,ENTP,2,3,2,4,3,2,2,2,5,3,2,4,2,3,5,5,E,N,T,P
SYN-ENTP-063,ENTP,3,1,2,2,5,2,5,3,3,3,5,2,3,4,3,5,E,N,T,P
SYN-ENTP-064,ENTP,3,3,4,2,2,4,4,5,2,1,3,2,2,1,1,4,E,N,T,P
SYN-ENTP-065,ENTP,2,4,2,4,2,2,3,3,1,2,4,1,4,4,3,3,E,N,T,P
SYN-ENTP-066,ENTP,2,3,5,3,4,2,5,3,3,2,4,1,1,3,1,5,E,N,T,P
SYN-ENTP-067,ENTP,2,5,5,5,2,3,3,4,3,1,1,2,2,2,3,4,E,N,T,P
SYN-ENTP-068,ENTP,5,3,2,4,5,2,4,3,4,5,5,4,2,4,2,4,E,N,T,P
SYN-ENTP-069,ENTP,4,3,4,4,4,3,4,1,3,1,2,1,3,4,2,3,E,N,T,P
SYN-ENTP-070,ENTP,5,3,2,4,4,1,3,4,4,2,4,1,1,3,1,3,E,N,T,P
SYN-ENTP-071,ENTP,3,4,1,5,4,3,2,3,2,3,5,1,1,2,2,3,E,N,T,P
SYN-ENTP-072,ENTP,1,2,3,2,1,1,2,1,4,3,3,1,2,4,3,5,E,N,T,P
SYN-ENTP-073,ENTP,2,5,3,5,4,1,5,2,4,4,5,3,3,3,3,4,E,N,T,P
SYN-ENTP-074,ENTP,3,4,2,4,1,4,5,1,3,5,4,2,1,4,2,5,E,N,T,P
SYN-ENTP-075,ENTP,5,5,1,2,5,3,3,1,5,2,4,4,3,4,1,5,E,N,T,P
SYN-ENTP-076,ENTP,4,4,4,4,5,4,5,3,4,4,4,5,4,3,1,5,E,N,T,P
SYN-ENTP-077,ENTP,2,5,2,4,3,3,3,2,3,1,4,2,1,5,1,4,E,N,T,P
SYN-ENTP-078,ENTP,4,4,4,5,4,1,5,2,5,3,5,2,1,4,5,3,E,N,T,P
SYN-ENTP-079,ENTP,4,4,3,2,4,5,2,5,2,2,5,1,4,5,1,5,E,N,T,P
SYN-ENTP-080,ENTP,2,5,4,1,4,4,3,4,3,3,2,4,1,4,1,3,E,N,T,P
SYN-INTP-001,INTP,5,2,5,2,3,1,5,4,5,3,1,2,2,3,5,5,I,N,T,P
SYN-INTP-002,INTP,3,5,4,1,3,1,5,3,3,3,4,4,2,5,2,2,I,N,T,P
SYN-INTP-003,INTP,4,2,4,1,3,4,4,3,4,2,5,3,3,4,3,5,I,N,T,P
SYN-INTP-004,INTP,2,3,4,2,4,3,3,5,5,2,3,4,4,2,3,2,I,N,T,P
SYN-INTP-005,INTP,5,3,5,5,4,4,3,3,2,2,5,4,3,2,5,5,I,N,T,P
SYN-INTP-006,INTP,1,2,5,3,5,3,5,1,2,1,5,3,2,1,4,4,I,N,T,P
SYN-INTP-007,INTP,4,4,3,3,2,4,5,4,2,4,2,2,4,4,2,3,I,N,T,P
SYN-INTP-008,INTP,1,1,4,1,2,1,5,2,4,5,5,3,4,4,2,4,I,N,T,P
SYN-INTP-009,INTP,4,3,4,1,2,2,5,2,4,2,3,1,3,5,2,4,I,N,T,P
SYN-INTP-010,INTP,3,2,3,2,3,5,3,4,4,1,4,2,2,3,1,3,I,N,T,P
SYN-INTP-011,INTP,3,1,4,3,4,2,1,2,5,3,2,2,1,2,3,5,I,N,T,P
SYN-INTP-012,INTP,4,4,2,2,5,2,4,2,5,5,2,2,1,3,3,5,I,N,T,P
SYN-INTP-013,INTP,2,2,2,3,4,3,4,4,1,4,3,3,2,4,2,4,I,N,T,P
SYN-INTP-014,INTP,4,2,4,3,5,2,2,3,4,2,5,3,2,4,4,1,I,N,T,P
SYN-INTP-015,INTP,4,1,2,1,5,4,5,1,3,2,2,4,2,4,1,5,I,N,T,P
SYN-INTP-016,INTP,2,2,2,2,2,2,1,4,3,4,1,1,1,4,1,3,I,N,T,P
SYN-INTP-017,INTP,1,1,5,1,1,3,5,3,3,3,3,2,3,2,2,3,I,N,T,P
SYN-INTP-018,INTP,2,4,2,2,2,1,4,2,3,2,4,1,3,4,3,3,I,N,T,P
SYN-INTP-019,INTP,3,1,2,1,4,2,4,4,4,4,4,2,2,3,2,5,I,N,T,P
SYN-INTP-020,INTP,4,3,5,3,2,2,5,1,4,1,1,5,4,3,3,3,I,N,T,P
SYN-INTP-021,INTP,4,5,4,1,3,4,4,3,3,2,3,1,1,4,2,5,I,N,T,P
SYN-INTP-022,INTP,1,5,3,2,4,1,4,3,2,2,4,3,1,5,2,4,I,N,T,P
SYN-INTP-023,INTP,5,4,5,3,3,5,4,1,3,1,3,3,3,4,4,3,I,N,T,P
SYN-INTP-024,INTP,3,3,4,2,3,2,4,2,5,2,3,3,5,5,3,4,I,N,T,P
SYN-INTP-025,INTP,3,2,4,2,2,2,5,2,5,2,4,2,3,3,1,1,I,N,T,P
SYN-INTP-026,INTP,4,3,2,2,3,4,2,4,4,2,3,2,2,4,3,1,I,N,T,P
SYN-INTP-027,INTP,4,2,2,4,5,2,1,4,1,3,2,2,4,4,2,1,I,N,T,P
SYN-INTP-028,INTP,5,1,4,4,4,3,2,3,4,1,4,4,2,4,3,3,I,N,T,P
SYN-INTP-029,INTP,4,4,3,2,4,2,1,3,4,3,5,2,2,3,1,5,I,N,T,P
SYN-INTP-030,INTP,4,1,2,1,4,2,5,1,3,3,3,5,2,3,1,5,I,N,T,P
SYN-INTP-031,INTP,4,4,4,2,4,3,5,2,3,3,5,4,3,5,1,5,I,N,T,P
SYN-INTP-032,INTP,2,2,2,1,4,1,1,1,3,1,4,2,3,4,3,5,I,N,T,P
SYN-INTP-033,INTP,1,2,2,1,2,4,3,3,3,2,5,1,3,5,3,5,I,N,T,P
SYN-INTP-034,INTP,4,2,5,1,2,4,4,3,4,2,2,4,1,4,2,3,I,N,T,P
SYN-INTP-035,INTP,3,2,4,1,4,3,4,3,2,1,4,2,2,2,3,2,I,N,T,P
SYN-INTP-036,INTP,5,1,3,1,4,3,2,2,5,2,3,1,3,5,2,5,I,N,T,P
SYN-INTP-037,INTP,5,2,3,2,3,3,2,3,5,2,3,3,1,4,1,4,I,N,T,P
SYN-INTP-038,INTP,5,4,1,2,1,1,4,1,2,2,4,1,5,2,4,4,I,N,T,P
SYN-INTP-039,INTP,4,4,1,3,5,1,2,3,1,1,3,4,1,4,2,2,I,N,T,P
SYN-INTP-040,INTP,5,1,3,3,5,4,4,2,2,1,3,1,2,4,3,3,I,N,T,P
SYN-INTP-041,INTP,5,2,4,3,3,3,3,2,3,1,3,4,3,4,2,5,I,N,T,P
SYN-INTP-042,INTP,4,2,3,3,4,4,4,3,3,4,5,1,1,3,2,5,I,N,T,P
SYN-INTP-043,INTP,2,3,3,2,4,5,1,1,4,3,5,3,4,4,2,5,I,N,T,P
SYN-INTP-044,INTP,1,4,2,3,4,1,5,2,2,2,3,4,3,1,4,4,I,N,T,P
SYN-INTP-045,INTP,3,3,4,2,3,5,1,2,5,3,2,2,2,2,2,3,I,N,T,P
SYN-INTP-046,INTP,5,5,5,3,2,3,5,4,1,5,4,1,1,5,2,4,I,N,T,P
SYN-INTP-047,INTP,4,1,4,5,3,2,5,2,3,4,2,1,1,5,3,3,I,N,T,P
SYN-INTP-048,INTP,4,4,4,3,3,2,4,2,3,2,2,2,1,5,4,5,I,N,T,P
SYN-INTP-049,INTP,3,2,3,4,4,3,5,1,3,1,3,2,2,4,3,4,I,N,T,P
SYN-INTP-050,INTP,3,3,4,2,2,4,3,1,3,3,4,3,4,5,1,5,I,N,T,P
SYN-INTP-051,INTP,4,2,4,2,5,2,2,2,5,4,2,1,2,1,3,2,I,N,T,P
SYN-INTP-052,INTP,5,2,3,2,4,1,5,3,4,2,2,1,3,3,1,3,I,N,T,P
SYN-INTP-053,INTP,2,2,5,4,3,4,3,3,2,3,4,2,4,4,2,2,I,N,T,P
SYN-INTP-054,INTP,3,3,2,2,5,1,2,1,1,2,5,2,1,3,4,3,I,N,T,P
SYN-INTP-055,INTP,3,2,2,1,1,4,5,2,5,4,4,2,3,1,1,4,I,N,T,P
SYN-INTP-056,INTP,4,1,5,1,3,1,3,2,5,3,3,1,2,3,2,4,I,N,T,P
SYN-INTP-057,INTP,5,5,4,2,2,5,3,3,3,2,4,2,5,3,1,5,I,N,T,P
SYN-INTP-058,INTP,5,3,2,4,2,2,4,1,5,4,4,3,4,4,2,2,I,N,T,P
SYN-INTP-059,INTP,1,4,5,1,2,4,4,3,2,4,3,2,1,3,3,5,I,N,T,P
SYN-INTP-060,INTP,5,5,2,2,5,5,5,5,5,2,3,4,4,4,2,3,I,N,T,P
SYN-INTP-061,INTP,5,2,4,2,2,4,5,3,2,2,4,3,2,1,1,5,I,N,T,P
SYN-INTP-062,INTP,5,4,4,4,4,2,2,1,2,3,3,2,3,5,1,4,I,N,T,P
SYN-INTP-063,INTP,2,2,5,4,3,2,4,2,4,2,5,1,5,2,2,4,I,N,T,P
SYN-INTP-064,INTP,2,2,3,2,3,2,3,3,3,1,3,5,5,4,2,2,I,N,T,P
SYN-INTP-065,INTP,3,1,1,2,4,3,5,3,5,4,3,3,1,3,4,5,I,N,T,P
SYN-INTP-066,INTP,4,4,4,1,3,1,3,2,2,3,5,5,3,3,4,5,I,N,T,P
SYN-INTP-067,INTP,4,1,5,5,4,2,4,2,4,3,3,3,1,5,3,5,I,N,T,P
SYN-INTP-068,INTP,4,3,1,1,3,1,4,3,5,1,4,3,3,4,1,5,I,N,T,P
SYN-INTP-069,INTP,2,2,2,2,2,2,4,1,4,4,2,2,4,3,2,2,I,N,T,P
SYN-INTP-070,INTP,4,2,3,4,5,4,2,4,4,2,4,1,4,2,3,4,I,N,T,P
SYN-INTP-071,INTP,4,2,2,2,4,3,5,3,5,1,3,3,3,3,1,4,I,N,T,P
SYN-INTP-072,INTP,5,4,5,2,5,1,5,4,3,3,2,2,4,3,1,5,I,N,T,P
SYN-INTP-073,INTP,4,3,4,3,3,3,2,2,3,3,5,2,2,5,2,4,I,N,T,P
SYN-INTP-074,INTP,4,4,3,3,5,4,4,4,5,3,1,2,1,5,2,4,I,N,T,P
SYN-INTP-075,INTP,4,4,5,3,5,5,5,5,5,4,4,2,3,2,1,5,I,N,T,P
SYN-INTP-076,INTP,4,1,5,2,4,3,3,4,4,5,5,3,2,5,2,3,I,N,T,P
SYN-INTP-077,INTP,3,1,5,1,2,4,5,1,3,1,1,3,3,4,2,2,I,N,T,P
SYN-INTP-078,INTP,2,2,5,2,4,4,5,3,5,1,4,1,2,3,2,4,I,N,T,P
SYN-INTP-079,INTP,4,1,2,4,3,2,1,2,3,5,5,3,3,3,1,3,I,N,T,P
SYN-INTP-080,INTP,1,2,2,2,3,3,4,3,4,4,5,5,4,4,2,3,I,N,T,P
SYN-INTJ-001,INTJ,4,2,3,2,1,3,5,2,3,3,3,3,4,3,1,2,I,N,T,J
SYN-INTJ-002,INTJ,4,1,3,2,5,1,1,4,1,1,3,3,4,1,1,2,I,N,T,J
SYN-INTJ-003,INTJ,5,3,3,5,3,4,2,2,2,2,4,1,5,4,4,2,I,N,T,J
SYN-INTJ-004,INTJ,5,2,4,2,2,2,4,2,2,3,5,3,4,3,3,1,I,N,T,J
SYN-INTJ-005,INTJ,2,2,5,3,4,4,4,1,4,2,5,4,4,1,4,5,I,N,T,J
SYN-INTJ-006,INTJ,5,1,2,4,4,3,5,3,1,2,5,2,3,3,2,1,I,N,T,J
SYN-INTJ-007,INTJ,2,1,5,3,4,5,3,1,2,3,5,2,4,5,3,2,I,N,T,J
SYN-INTJ-008,INTJ,3,4,4,1,3,3,5,1,2,2,3,1,4,2,4,3,I,N,T,J
SYN-INTJ-009,INTJ,1,1,4,5,3,2,3,4,5,5,2,4,4,2,2,1,I,N,T,J
